bioguide_id,display_name,party,state,pc0,pc1,pc2,pc3
A000372,Rick W. Allen,Republican,GA,25.89109099094841,-0.75305947061999,2.1070989866894285,-5.038745805389457
B001295,Mike Bost,Republican,IL,26.89820560580253,-4.619711288926684,2.2862731468797586,-3.0649929786306025
M001196,Seth Moulton,Democrat,MA,-23.683030058994845,1.014071350423033,4.025556960970573,-0.12251655774063425
M001194,John R. Moolenaar,Republican,MI,22.819358210761045,4.211533261545024,-1.4096301425920117,-4.130646773080321
D000624,Debbie Dingell,Democrat,MI,-24.477703071019157,-3.1304317542184052,-2.0475759987592204,-0.31430136173052825
E000294,Tom Emmer,Republican,MN,26.591650633593787,-3.1949041987912117,1.384937364150546,-3.6238718780811334
R000603,David Rouzer,Republican,NC,24.693581097855116,2.9018018360917663,2.300542768311379,-5.303871065753004
W000822,Bonnie Watson Coleman,Democrat,NJ,-22.62136869342108,-4.272199807609429,-4.8632224836133755,-1.5239196888334563
S001196,Elise M. Stefanik,Republican,NY,23.277908958919205,5.207392734357296,0.2625109557918909,-5.895565860829749
B001296,Brendan F. Boyle,Democrat,PA,-23.5218148525465,1.150550148217882,4.36819540429554,1.083115779166145
B001291,Brian Babin,Republican,TX,28.052095541028763,-6.78660167715066,2.5704578436145846,-1.38747563409619
B001292,"Donald S. Beyer, Jr.",Democrat,VA,-25.524295921935877,-1.7668706316168796,-1.5361140256885122,-0.8251006147314173
P000610,Stacey E. Plaskett,Democrat,VI,-14.186769852265577,1.97256015769019,-2.2346263819120438,4.125939973166775
N000189,Dan Newhouse,Republican,WA,15.323179201658153,13.88170318780564,-3.9897924062568877,2.635841725527662
G000576,Glenn Grothman,Republican,WI,26.473307184118266,-3.7448949201670394,1.7257799452571865,-3.4497248898414576
K000388,Trent Kelly,Republican,MS,26.33761702506883,-0.9906971497039919,3.0698393460759217,-4.3742996974321064
L000585,Darin LaHood,Republican,IL,21.424003082104406,5.819657053263482,0.725644274530953,-4.647231129417752
D000626,Warren Davidson,Republican,OH,27.935541700318183,-10.408153501829773,0.6492772061423594,3.312590544633607
C001108,James Comer,Republican,KY,28.333122408085668,-10.064290233607025,1.6064636686698361,1.2757623153695892
E000296,Dwight Evans,Democrat,PA,-17.885099804070084,-3.630662041814707,-3.170893125931602,-0.4937360919539978
S001190,Bradley Scott Schneider,Democrat,IL,-23.53559513087989,1.536610300612859,5.303074809247635,0.1556622215794918
B001302,Andy Biggs,Republican,AZ,27.607002839262986,-16.780744035226054,-2.5346606167055894,8.72140838298903
K000389,Ro Khanna,Democrat,CA,-25.440464350620587,-3.2720606726034425,-2.8831465575485087,-0.4471055075986229
P000613,Jimmy Panetta,Democrat,CA,-21.717365643874082,3.043613100469642,7.86392919974423,3.1210300381003098
C001112,Salud O. Carbajal,Democrat,CA,-24.945157370940912,0.5762281172468389,3.5826395523815058,-1.0497251961182081
B001300,Nanette Diaz Barragán,Democrat,CA,-25.824561781965073,-2.6056654759179234,-3.533714586457363,-1.599706119151556
C001110,J. Luis Correa,Democrat,CA,-22.97989138951256,-1.3864272232826262,1.5638289595491255,0.045993456893456276
D000628,Neal P. Dunn,Republican,FL,22.356314468191115,5.161156331033435,0.6119703203910516,-4.5886634162273445
R000609,John H. Rutherford,Republican,FL,22.353972975140305,5.582942060201514,0.850209531323284,-3.7976288096568753
S001200,Darren Soto,Democrat,FL,-22.966784628374274,2.211157247374755,6.749889396780213,1.5455704716231788
M001199,Brian J. Mast,Republican,FL,25.63480220421957,-3.3674361710240848,1.2071048213328224,-1.8527728093600921
K000391,Raja Krishnamoorthi,Democrat,IL,-25.05693571164281,0.14666553127531434,2.419968261679859,-1.072821112085296
H001077,Clay Higgins,Republican,LA,27.121962715371883,-9.247781977223037,0.8984852357270205,3.5729450208591036
J000299,Mike Johnson,Republican,LA,20.41621790634601,-3.440927459494757,-2.1308270549132446,2.0648678815119075
R000606,Jamie Raskin,Democrat,MD,-25.796043894618087,-2.716455360929951,-2.2537122166229535,-1.171417434851918
B001301,Jack Bergman,Republican,MI,22.542105729278024,5.110105929795905,0.7008131911784216,-5.1947237081263
B001298,Don Bacon,Republican,NE,12.547737277199246,16.34660337742119,-3.346520159676565,4.993487750975182
G000583,Josh Gottheimer,Democrat,NJ,-19.01175569757568,3.2858983027258253,8.929514035349396,3.6030496568909727
E000297,Adriano Espaillat,Democrat,NY,-25.4943230628281,-2.454627468775864,-1.5645605793979593,-1.0347273973543167
F000466,Brian K. Fitzpatrick,Republican,PA,-0.09846336546912496,13.57647933279248,1.0154659487281306,6.713912971445387
S001199,Lloyd Smucker,Republican,PA,23.727253558963444,2.8493027803695457,1.9720707194348326,-5.084183347145228
K000392,David Kustoff,Republican,TN,23.08108065680814,3.7928635533906037,0.45615944643465467,-4.313923813058463
G000581,Vicente Gonzalez,Democrat,TX,-16.165964184336836,4.845621360619489,6.737806310476449,4.730829174736742
A000375,Jodey C. Arrington,Republican,TX,26.10965334104363,-5.025128115572238,0.5866635381069246,0.5128669134759817
J000298,Pramila Jayapal,Democrat,WA,-25.54324625659679,-4.607945112149568,-8.44450752242867,-0.9540201171851633
E000298,Ron Estes,Republican,KS,26.349577773722675,-2.0222685101492806,2.7699973634837907,-4.684757772145803
N000190,Ralph Norman,Republican,SC,28.530597533455655,-14.499539629215667,-0.9170733463659873,7.866357683356462
G000585,Jimmy Gomez,Democrat,CA,-25.82526583455772,-3.004603073491267,-4.763945626800777,-1.4817704003355128
C001115,Michael Cloud,Republican,TX,29.16153487805067,-14.444381158886166,-0.9593097068190399,8.039155285328611
B001306,Troy Balderson,Republican,OH,24.104356475778886,4.063234287000782,0.9750231860851724,-6.0664996088658
H001082,Kevin Hern,Republican,OK,29.04038026379744,-9.391916951322726,2.6888584652481997,0.7863156157224523
M001206,Joseph D. Morelle,Democrat,NY,-23.058024733215177,1.0508029482016972,5.269443184693786,0.10706451720850592
S001205,Mary Gay Scanlon,Democrat,PA,-24.620009215503313,-3.8885986609623133,-3.5453619427302243,-2.418842504525338
C001055,Ed Case,Democrat,HI,-23.12015957358471,1.4507656703489973,4.754107876881814,1.0414842665127364
H001066,Steven Horsford,Democrat,NV,-22.327073246863748,1.4622415560721052,6.316551562891766,3.5526894865369205
S001211,Greg Stanton,Democrat,AZ,-21.188446271680405,3.247659313068015,8.490666358564381,3.5126393717113396
H001090,Josh Harder,Democrat,CA,-20.13449762435874,3.747177117604492,8.847216765831712,4.313817900364554
L000593,Mike Levin,Democrat,CA,-23.39197223161602,1.4463363027056977,5.799683307555213,1.7146487177737677
N000191,Joe Neguse,Democrat,CO,-25.787932731650848,-0.7568721912096168,1.2507310173699522,-1.5924590423435079
C001121,Jason Crow,Democrat,CO,-24.449518980347158,-0.8533126609005336,2.6821337454910683,-2.098529257905694
H001081,Jahana Hayes,Democrat,CT,-24.26023979248782,0.2906572238713154,3.705917970121204,0.6218946197691615
S001214,W. Gregory Steube,Republican,FL,25.72566667105827,-14.863896295421958,0.4927483519996567,4.0638356317125615
M001208,Lucy McBath,Democrat,GA,-24.839732288236128,-0.6916586862613963,1.760359219805941,0.11310066699020152
F000469,Russ Fulcher,Republican,ID,28.39257546454685,-8.885724449071994,2.5649503198037538,1.2861229264894702
G000586,"Jesús G. ""Chuy"" García",Democrat,IL,-23.053283074550123,-5.378423359460874,-11.493090990344692,3.7230268731488643
C001117,Sean Casten,Democrat,IL,-25.573093451584487,-0.8636246574155002,-1.1004056861915483,-1.7087663935930872
U000040,Lauren Underwood,Democrat,IL,-25.94036686560368,-1.730354169839663,-2.5610080926031067,-2.4475950725605227
B001307,James R. Baird,Republican,IN,18.231418567229518,10.963307410996872,-4.084605914270878,1.4271892332000111
D000629,Sharice Davids,Democrat,KS,-22.590266945272052,2.524520754834094,7.455118637451792,2.1247076718170295
T000482,Lori Trahan,Democrat,MA,-25.67231099556592,-1.846861036118293,-0.7244088861266653,-1.2403285938308035
P000617,Ayanna Pressley,Democrat,MA,-24.68819046741124,-5.720626543293417,-10.067453288204508,0.07862523209926718
S001215,Haley M. Stevens,Democrat,MI,-24.82380949448153,0.4908682815301926,3.4954917661968223,-0.5393396304314095
T000481,Rashida Tlaib,Democrat,MI,-25.514434042890418,-7.350052184221071,-13.020080667829827,4.314649195353729
C001119,Angie Craig,Democrat,MN,-17.617985797078582,5.135219045350312,8.70165000153477,5.406067337839851
O000173,Ilhan Omar,Democrat,MN,-25.336407690324638,-7.3135047584042745,-12.618457087927991,3.5675076931548415
S001212,Pete Stauber,Republican,MN,22.947391070132362,0.3565483605310634,0.8843070016565499,-2.5548130638552764
G000591,Michael Guest,Republican,MS,24.866160716476458,0.8200177737242649,1.1238256779801494,-4.568466351967292
P000614,Chris Pappas,Democrat,NH,-19.084982765948048,4.773583456103817,9.461829172945992,4.650860169483061
V000133,Jefferson Van Drew,Republican,NJ,26.534102457391715,-5.647969958897154,1.3428067278239642,0.11602165524138416
L000590,Susie Lee,Democrat,NV,-18.85253629574058,3.8361311728718395,7.341664572603284,4.309704405537129
O000172,Alexandria Ocasio-Cortez,Democrat,NY,-25.463956858389622,-5.643820934483846,-11.665209782417362,0.4752597136624754
D000631,Madeleine Dean,Democrat,PA,-25.486502644244784,-1.6576391247772435,-0.274832199414782,-1.4239265924822206
H001085,Chrissy Houlahan,Democrat,PA,-21.64276119118228,1.788872950775815,5.784011837112038,2.339230268537936
M001204,Daniel Meuser,Republican,PA,23.225564164830157,2.615970681987476,-0.08331772161713037,-3.594606557445945
J000302,John Joyce,Republican,PA,27.357609368753995,-5.284599932483404,2.408646584349289,-1.7397458154068108
R000610,Guy Reschenthaler,Republican,PA,26.453221955732197,-2.093442886786558,2.0175234084523344,-3.5656941349674405
T000480,William R. Timmons IV,Republican,SC,28.154827175283405,-7.193795768765996,2.2034960092495552,-0.8395440727588495
J000301,Dusty Johnson,Republican,SD,24.437670811122914,2.9765518972075204,1.1701221295941275,-6.3790419604147015
B001309,Tim Burchett,Republican,TN,27.891793492779364,-14.070997205039907,-0.7232664385168704,4.324433597636861
R000612,John W. Rose,Republican,TN,25.95886409198983,-1.9726196146396529,2.3782722184715968,-5.1535532815876435
C001120,Dan Crenshaw,Republican,TX,19.281411708855572,7.646512580785208,-1.007197490629918,-1.960587551804555
G000589,Lance Gooden,Republican,TX,28.039912673986752,-8.270501592936776,2.523474788145865,-0.3854127415919608
F000468,Lizzie Fletcher,Democrat,TX,-21.91375347345064,1.5509594899242227,1.601094211882563,0.15764258549449456
E000299,Veronica Escobar,Democrat,TX,-24.826799628676586,-2.333762661434316,-0.7475312857110713,-3.157903307975538
R000614,Chip Roy,Republican,TX,27.852137170534775,-15.606369470947941,-1.8183872513737431,8.408272496669436
G000587,Sylvia R. Garcia,Democrat,TX,-25.2025039506107,-2.963520140996571,-2.962282552554436,-1.7894359038956027
C001118,Ben Cline,Republican,VA,29.18000263602797,-11.972961747597589,1.41533015206954,3.12439653894971
S001216,Kim Schrier,Democrat,WA,-20.364257031323913,3.6900300935086983,8.603866767439252,4.077224602997157
S001213,Bryan Steil,Republican,WI,22.665325152796814,6.374406346209299,-0.3414046938304623,-5.4740198163876945
M001205,Carol D. Miller,Republican,WV,27.027970998658795,-4.120303897905646,2.5041861693361938,-3.2062557413341115
G000592,Jared F. Golden,Democrat,ME,-8.08153104566082,5.836348726394584,6.307522614488929,6.217768393686644
M001210,Gregory F. Murphy,Republican,NC,19.90647152720816,2.457358468780731,1.1699249240564076,-3.24960093263932
M000687,Kweisi Mfume,Democrat,MD,-25.226192878121495,-1.4207437646733148,-0.7215033976151637,-1.9550345917804661
T000165,Thomas P. Tiffany,Republican,WI,29.107007548905152,-12.103768568564387,0.3839829337576275,3.854124155556678
I000056,Darrell Issa,Republican,CA,22.077810463377574,3.9313584982102103,-2.0395895107974087,-3.403343611635747
S000250,Pete Sessions,Republican,TX,23.461658062024462,1.7524341394726635,1.5203605999581906,-2.7667020067584382
V000129,David G. Valadao,Republican,CA,12.861814870045206,16.85329615588445,-4.582661548358796,5.344285909859868
M001212,Barry Moore,Republican,AL,28.98138757414978,-11.542032946946671,0.7326058025488158,2.320128626715944
O000019,Jay Obernolte,Republican,CA,15.845218700628832,14.319053449158842,-4.788735632297594,4.4105442867972
K000397,Young Kim,Republican,CA,12.769005230290817,16.35132278260614,-4.875467247466086,5.984955006690764
J000305,Sara Jacobs,Democrat,CA,-25.684213108102156,-3.1283778735944128,-4.692926021353467,-1.4463066643051323
B000825,Lauren Boebert,Republican,CO,27.323574713299372,-15.118073956847043,-0.9126118027761666,7.061254814021593
C001039,Kat Cammack,Republican,FL,27.56795301160168,-9.625536543202006,0.8261237369627352,0.1262477535730315
