bioguide_id,display_name,party,state,row_idx
H001093,Erin Houchin,Republican,IN,311
M001220,Morgan McGarvey,Democrat,KY,312
I000058,Glenn Ivey,Democrat,MD,313
S001221,Hillary J. Scholten,Democrat,MI,314
J000307,John James,Republican,MI,315
T000488,Shri Thanedar,Democrat,MI,316
A000379,Mark Alford,Republican,MO,317
B001316,Eric Burlison,Republican,MO,318
E000235,Mike Ezell,Republican,MS,319
D000230,Donald G. Davis,Democrat,NC,320
F000477,Valerie P. Foushee,Democrat,NC,321
E000246,Chuck Edwards,Republican,NC,322
K000398,"Thomas H. Kean, Jr.",Republican,NJ,323
M001226,Robert Menendez,Democrat,NJ,324
V000136,Gabe Vasquez,Democrat,NM,325
L000598,Nick LaLota,Republican,NY,326
G000599,Daniel S. Goldman,Democrat,NY,327
L000599,Michael Lawler,Republican,NY,328
L000600,Nicholas A. Langworthy,Republican,NY,329
L000601,Greg Landsman,Democrat,OH,330
M001222,Max L. Miller,Republican,OH,331
S001223,Emilia Strong Sykes,Democrat,OH,332
B001317,Josh Brecheen,Republican,OK,333
H001094,Val T. Hoyle,Democrat,OR,334
S001226,Andrea Salinas,Democrat,OR,335
L000602,Summer L. Lee,Democrat,PA,336
D000530,Christopher R. Deluzio,Democrat,PA,337
M001223,Seth Magaziner,Democrat,RI,338
F000478,Russell Fry,Republican,SC,339
O000175,Andrew Ogles,Republican,TN,340
M001224,Nathaniel Moran,Republican,TX,341
S001224,Keith Self,Republican,TX,342
L000603,Morgan Luttrell,Republican,TX,343
D000594,Monica De La Cruz,Republican,TX,344
C001130,Jasmine Crockett,Democrat,TX,345
C001131,Greg Casar,Democrat,TX,346
H001095,Wesley Hunt,Republican,TX,347
K000399,Jennifer A. Kiggans,Republican,VA,348
B001318,Becca Balint,Democrat,VT,349
G000600,Marie Gluesenkamp Perez,Democrat,WA,350
V000135,Derrick Van Orden,Republican,WI,351
H001096,Harriet M. Hageman,Republican,WY,352
M001227,Jennifer L. McClellan,Democrat,VA,353
